aen	aː ə n
eegestännegkeet	eː ʑ ə ʃ t æ n ə ɕ k eː t
eegiel	eː g iə l
eegleiseg	eː g l ɑɪ s ə ɕ
eegnen	eː g n ə n
gëeegent	g ə eː ʑ ə n t
eekel	eː k ə l
eekelen	eː k ə l ə n
eekeleg	eː k ə l ə ɕ
gëeekelt	g ə eː k ə l t
eekleg	eː k l ə ɕ
eelef	eː l ə f
eelefmeter	eː l ə f m eː t ɐ
eelefmeteren	eː l ə f m eː t ə ʀ ə n
eeleft	eː l ə f t
eeler	eː l ɐ
eelzen	eː l ts ə n
gëeelzt	g ə eː l s t
eemer	eː m ɐ
eemeren	eː m ə ʀ ə n
eemerchen	eː m ɐ ɕ ə n
eemercher	eː m ɐ ɕ ɐ
eemol	eː m oː l
eemoleg	eː m oː l ə ɕ
een	eː n
eenafofzeg	eː n ɑ f o f ts ə ɕ
eenafofzegst	eː n ɑ f o f ts ə ɕ s t
eenanachzeg	eː n ɑ n ɑ χ ts ə ɕ
eenanachzegst	eː n ɑ n ɑ χ ts ə ɕ s t
eenandrësseg	eː n ɑ n d ʀ ə s ə ɕ
eenandrëssegst	eː n ɑ n d ʀ ə s ə ɕ s t
eenannonzeg	eː n ɑ n o n ts ə ɕ
eenannonzegst	eː n ɑ n o n ts ə ɕ s t
eenanuechzeg	eː n ɑ n uə ɕ ts ə ɕ
eenanuechzegst	eː n ɑ n uə ɕ ts ə ɕ s t
eenanzwanzeg	eː n ɑ n ts w ɑ n ts ə ɕ
eenanzwanzegst	eː n ɑ n ts w ɑ n ts ə ɕ s t
eenasechzeg	eː n ɑ z æ ɕ ts ə ɕ
eenasechzegst	eː n ɑ z æ ɕ ts ə ɕ s t
eenasiechzeg	eː n ɑ z iə ɕ ts ə ɕ
eenasiechzegst	eː n ɑ z iə ɕ ts ə ɕ s t
eenasiwwenzeg	eː n aː z i v ə n ts ə ɕ
eenasiwwenzegst	eː n aː z i v ə n ts ə ɕ s t
eenavéierzeg	eː n ɑ f ɜɪ ɐ ts ə ɕ
eenavéierzegst	eː n ɑ f ɜɪ ɐ ts ə ɕ s t
eendeiteg	eː n d ɑɪ t ə ɕ
eeneg	eː n ə ɕ
eenegen	eː n ə ʑ ə n
gëeenegt	g ə eː n ə ɕ t
eenegermoossen	eː n ə ʑ ɐ m oː s ə n
eenegkeet	eː n ə ɕ k eː t
eenegung	eː n ə ʑ u ŋ
eenegungen	eː n ə ʑ u ŋ ə n
eenheet	eː n h eː t
eenheeten	eː n h eː t ə n
eenheetlech	eː n h eː t l ə ɕ
eens	eː n s
eent	eː n t
eenten	eː n t ə n
eentchen	eː n t ɕ ə n
eentercher	eː n t ɐ ɕ ɐ
eenzeg	eː n ts ə ɕ
eenzegaarteg	eː n ts ə g aː ʀ t ə ɕ
eenzel	eː n ts ə l
eenzelfall	eː n ts ə l f ɑ l
eenzelfäll	eː n ts ə l f æ l
eenzelhandel	eː n ts ə l h ɑ n d ə l
eenzelheet	eː n ts ə l h eː t
eenzelheeten	eː n ts ə l h eː t ə n
eenzelkand	eː n ts ə l k ɑ n t
eenzelkanner	eː n ts ə l k ɑ n ɐ
eenzelstéck	eː n ts ə l ʃ t e k
eenzelstécker	eː n ts ə l ʃ t e k ɐ
eenzock	eː n ts o k
eesäiteg	eː z æːɪ t ə ɕ
eesäitegkeet	eː z æːɪ t ə ɕ k eː t
eesbech	eː s b æ ɕ
eescht	eː ʃ t
eeschtlech	eː ʃ t l ə ɕ
eeschweller	eː ʃ w æ l ɐ
eeschwëller	eː ʃ w ə l ɐ
eesebuer	eː z ə b uː ɐ
eeselbuer	eː z ə l b uː ɐ
eess	eː s
eessen	eː s ə n
eestëmmeg	eː ʃ t ə m ə ɕ
eestëmmegkeet	eː ʃ t ə m ə ɕ k eː t
eeter	eː t ɐ
eeteren	eː t ə ʀ ə n
gëeetert	g ə eː t ɐ t
eewäiss	eː v æːɪ s
eewäisser	eː v æːɪ s ɐ
eezell	eː ts æ l
eezellen	eː ts æ l ə n
efeu	eː f oɪ
effekt	æ f æ k t
effekter	æ f æ k t ɐ
effektiv	æ f æ k t iː f
ëffentlech	ə f ə n t l ə ɕ
ëffentlechkeet	ə f ə n t l ə ɕ k eː t
effet	æ f eː
effeten	æ f eː ə n
efficace	æ f i k ɑ s
efficacitéit	æ f i k ɑ s i t ɜɪ t
effikass	æ f i k ɑ s
effikassitéit	æ f i k ɑ s i t ɜɪ t
effizient	æ f i ts j æ n t
effizienz	æ f i ts j æ n ts
ëffnung	ə f n u ŋ
ëffnungen	ə f n u ŋ ə n
effort	æ f ɔː ʀ
efforten	æ f ɔː ʀ ə n
egal	e g aː l
egaliséieren	e g aː l i z ɜɪ ə ʀ ə n
egaliséiert	e g aː l i z ɜɪ ɐ t
egalitär	e g aː l i t ɛː ʀ
egalitéit	e g aː l i t ɜɪ t
egoismus	e g i s m u s
egoist	e g w ɑ s t
egoisten	e g w ɑ s t ə n
egoistesch	e g w ɑ s t ə ʃ
egozentresch	e g o ts æ n t ʀ ə ʃ
egozentriker	e g o ts æ n t ʀ i k ɐ
ehleng	eː l æ ŋ
eichen	ɑɪ ɕ ə n
gëeicht	g ə i ɕ t
eidechs	ɑɪ d æ k s
eidechsen	ɑɪ d æ k s ə n
eidel	ɑɪ d ə l
éier	ɜɪ ɐ
éieren	ɜɪ ə ʀ ə n
éierbar	ɜɪ ɐ b aː ʀ
éierchen	ɜɪ ɐ ɕ ə n
éiercher	ɜɪ ɐ ɕ ɐ
éieregaascht	ɜɪ ə ʀ ə g aː ʃ t
éieregäscht	ɜɪ ə ʀ ə g æ ʃ t
éieremember	ɜɪ ɐ æ m ɑ̃ː m b ɐ
éierememberen	ɜɪ ɐ æ m ɑ̃ː m b ə ʀ ə n
geéiert	ʒ eː ɜɪ ɐ t
éierenamtlech	ɜɪ ɐ æ n ɑ m t l ə ɕ
éierewäin	ɜɪ ə ʀ ə w æːɪ n
éierewäiner	ɜɪ ə ʀ ə w æːɪ n ɐ
éiergäiz	ɜɪ ɐ g æːɪ ts
éiergäizeg	ɜɪ ɐ g æːɪ ts ə ɕ
éiergefill	ɜɪ ɐ g ə f i l
éierlech	ɜɪ ɐ l ə ɕ
éierlechkeet	ɜɪ ɐ l ə ɕ k eː t
éierung	ɜɪ ə ʀ u ŋ
éierungen	ɜɪ ə ʀ u ŋ ə n
eigentlech	ɑɪ ʑ ə n t l ə ɕ
eil	ɑɪ l
eilen	ɑɪ l ə n
éil	ɜɪ l
éilen	ɜɪ l ə n
éilereng	ɜɪ l ə ʀ æ ŋ
eileseech	ɑɪ l ə z eː ɕ
eileseechen	ɑɪ l ə z eː ɕ ə n
éimereng	ɜɪ m ə ʀ æ ŋ
éimeschbaach	ɜɪ m ə ʃ b aː χ
einbahn	ɑɪ n b aː n
einbahnen	ɑɪ n b aː n ə n
éinen	ɜɪ n ə n
éinescht	ɜɪ n ə ʃ t
einfach	ɑɪ n f ɑ χ
einlag	ɑɪ n l aː χ
einlagen	ɑɪ n l aː ʁ ə n
einzahl	ɑɪ n ts aː l
eis	ɑɪ s
éischt	ɜɪ ʃ t
éischtens	ɜɪ ʃ t ə n s
éischter	ɜɪ ʃ t ɐ
éischtklasseg	ɜɪ ʃ t k l ɑ s ə ɕ
eisebunn	ɑɪ z e b u n
eisebunnen	ɑɪ z e b u n ə n
eisebunner	ɑɪ z e b u n ɐ
eisebunnsbréck	ɑɪ z e b u n s b ʀ e k
eisebunnsbrécken	ɑɪ z e b u n s b ʀ e k ə n
eisebunnsgesellschaft	ɑɪ z e b u n s g ə z æ l ʃ ɑ f t
eisebunnsgesellschaften	ɑɪ z e b u n s g ə z æ l ʃ ɑ f t ə n
eisebunnslinn	ɑɪ z e b u n s l i n
eisebunnslinnen	ɑɪ z e b u n s l i n ə n
eisebunnsschwell	ɑɪ z e b u n s ʃ w æ l
eisebunnsschwellen	ɑɪ z e b u n s ʃ w æ l ə n
eisebunnsstreck	ɑɪ z e b u n s t ʀ æ k
eisebunnsstrecken	ɑɪ z e b u n s ʃ t ʀ æ k ə n
eisebunnswaggon	ɑɪ z e b u n s v ɑ g ɑ̃ː
eisebunnswaggonen	ɑɪ z e b u n s v ɑ g oː n ə n
eisegelänner	ɑɪ z ə g ə l æ n ɐ
eisegelänneren	ɑɪ z ə g ə l æ n ə ʀ ə n
eisekuch	ɑɪ z ə k u χ
eisekuchen	ɑɪ z ə k u χ ə n
eisem	ɑɪ z ə m
eisen	ɑɪ z ə n
eisendier	ɑɪ z ə n d iː ɐ
eisendieren	ɑɪ z ə n d iː ɐ ʀ ə n
eisenhalteg	ɑɪ z ə n h ɑ l t ə ɕ
eiser	ɑɪ z ɐ
éisser	ɜɪ s ɐ
éisserin	ɜɪ s ə ʀ i n
éisserinnen	ɜɪ s ə ʀ i n ə n
eist	ɑɪ s t
éisträich	ɜɪ s t ʀ æːɪ ɕ
éisträicher	ɜɪ s t ʀ æːɪ ɕ ɐ
éisträicherin	ɜɪ s t ʀ æːɪ ɕ ə ʀ i n
éisträicherinnen	ɜɪ s t ʀ æːɪ ɕ ə ʀ i n ə n
éisträichesch	ɜɪ s t ʀ æːɪ ɕ ə ʃ
éiter	ɜɪ t ɐ
éiweg	ɜɪ v ə ɕ
éiwegkeet	ɜɪ v ə ɕ k eː t
ejakulatioun	ə j aː k u l aː ts j əʊ n
ejakulatiounen	ə j aː k u l aː ts j əʊ n ə n
ejakuléieren	ə j aː k u l ɜɪ ə ʀ ə n
ejakuléiert	ə j aː k u l ɜɪ ɐ t
ekipp	eː k i p
ekippen	eː k i p ə n
eko	eː k oː
ekologesch	eː k oː l o g ə ʃ
ekologie	eː k oː l oː ʒ iː
ekologist	eː k oː l o g i s t
ekologisten	eː k oː l o g i s t ə n
ekologistin	eː k oː l o g i s t i n
ekologistinnen	eː k oː l o g i s t i n ə n
ekonomesch	eː k oː n oː m ə ʃ
ekonomie	eː k oː n oː m iː
ekonomien	eː k oː n oː m iː ə n
ekonomist	eː k oː n oː m i s t
ekonomisten	eː k oː n oː m i s t ə n
ekonomistin	eː k oː n oː m i s t i n
ekonomistinnen	eː k oː n oː m i s t i n ə n
elaboratioun	e l ɑ b oː ʀ ɑ ts j əʊ n
elaboréieren	e l ɑ b oː ʀ ɜɪ ə ʀ ə n
elaboréiert	e l ɑ b oː ʀ ɜɪ ɐ t
elan	e l ɑ n
elastesch	e l ɑ s t ə ʃ
elastizitéit	e l ɑ s t i ts i t ɜɪ t
elauter	ə l æːʊ t ɐ
elch	æ l ɕ
elchen	æ l ɕ ə n
elchert	æ l ɕ ɐ t
elefant	ə l ə f ɑ n t
elefanten	ə l ə f ɑ n t ə n
elegant	e l e g ɑ n t
eleganz	e l e g ɑ n ts
elei	ə l ɑɪ
elektresch	e l æ k t ʀ ə ʃ
elektricitéit	e l æ k t ʀ i s i t ɜɪ t
elektrifizéieren	e l æ k t ʀ i f i ts ɜɪ ə ʀ ə n
elektrifizéiert	e l æ k t ʀ i f i ts ɜɪ ɐ t
elektriker	e l æ k t ʀ i k ɐ
elektrikerin	e l æ k t ʀ i k ə ʀ i n
elektrikerinnen	e l æ k t ʀ i k ə ʀ i n ə n
elektriséieren	e l æ k t ʀ i z ɜɪ ə ʀ ə n
elektriséiert	e l æ k t ʀ i z ɜɪ ɐ t
elektrizitéit	e l æ k t ʀ i ts i t ɜɪ t
elektron	e l æ k t ʀ ɑ̃ː
elektronen	e l æ k t ʀ oː n ə n
elektronesch	e l æ k t ʀ o n ə ʃ
elektronik	e l æ k t ʀ oː n i k
elektrostatesch	e l æ k t ʀ o s t aː t ə ʃ
element	ə l ə m æ n t
elementer	ə l ə m æ n t ɐ
elementar	ə l ə m æ n t aː ʀ
eleng	ə l æ ŋ
elfenbeinküst	ə l f æ n b ɑɪ ŋ k yː s t
eliminatioun	e l i m i n ɑ ts j əʊ n
eliminatiounen	e l i m i n ɑ ts j əʊ n ə n
eliminéieren	e l i m i n ɜɪ ə ʀ ə n
eliminéiert	e l i m i n ɜɪ ɐ t
elitär	e l i t ɛː ʀ
elite	e l i t
elitten	e l i t ə n
elittezaldot	e l i t e ts ɑ l d oː t
elittezaldoten	e l i t e ts ɑ l d oː t ə n
elittezaldotin	e l i t e ts ɑ l d oː t i n
elittezaldotinnen	e l i t e ts ɑ l d oː t i n ə n
ell	æ l
ellen	æ l ə n
elleng	æ l æ ŋ
elo	ə l oː
elster	ə l s t ɐ
elsteren	ə l s t ə ʀ ə n
elteren	æ l t ə ʀ ə n
elterenhaus	æ l t ə ʀ ə n h æːʊ s
elterevereenegung	æ l t ə ʀ ə v æ ʀ eː n ə ʑ u ŋ
elterevereenegungen	æ l t ə ʀ ə v æ ʀ eː n ə ʑ u ŋ ə n
ëlwen	ə l v ə n
elweng	ə l v æ ŋ
elz	æ l ts
ëm	ə m
em	ə m
ëmäerbelen	ə m ɛː ɐ b ə l ə n
ëmäerbelt	ə m ɛː ɐ b ə l t
ëmäermelen	ə m ɛː ɐ m ə l ə n
ëmäermelt	ə m ɛː ɐ m ə l t
email	e m ɑ j
e	ə
mail	m ɑ j
mailen	m ɑ j ə n
emailléieren	e m ɑ j ɜɪ ə ʀ ə n
emailléiert	e m ɑ j ɜɪ ɐ t
ëmänneren	ə m æ n ə ʀ ə n
ëmgeännert	ə m g ə æ n ɐ t
ëmännerung	ə m æ n ə ʀ u ŋ
ëmännerungen	ə m æ n ə ʀ u ŋ ə n
emanzipatioun	e m ɑ n ts i p ɑ ts j əʊ n
emanzipatiounen	e m ɑ n ts i p ɑ ts j əʊ n ə n
emanzipéieren	e m ɑ n ts i p ɜɪ ə ʀ ə n
emanzipéiert	e m ɑ n ts i p ɜɪ ɐ t
emballage	ɑ̃ː m b ɑ l aː ʃ
emballagen	ɑ̃ː m b ɑ l ɑ ʒ ə n
embargo	æ m b ɑ ʀ g oː
embargoen	æ m b ɑ ʀ g oː ə n
ëmbau	ə m b æːʊ
ëmbauaarbechten	ə m b æːʊ aː ɐ b ə ɕ t ə n
ëmbauen	ə m b ɑʊ ə n
ëmgebaut	ə m g ə b æːʊ t
ëmbenennen	ə m b ə n æ n ə n
ëmbenannt	ə m b ə n ɑ n t
embêtéieren	ɑ̃ː m b ɛː t ɜɪ ə ʀ ə n
embêtéiert	ɑ̃ː m b ɛː t ɜɪ ɐ t
ëmbilden	ə m b i l d ə n
ëmgebilt	ə m g ə b i l t
ëmbitzen	ə m b i ts ə n
ëmgebitzt	ə m g ə b i ts t
ëmbliederen	ə m b l iə d ə ʀ ə n
ëmgebliedert	ə m g ə b l iə d ɐ t
ëmblosen	ə m b l oː z ə n
ëmgeblosen	ə m g ə b l oː z ə n
embolie	ɑ̃ː m b o l iː
embolien	ɑ̃ː m b o l iː ə n
ëmbréngen	ə m b ʀ e ŋ ə n
ëmbruecht	ə m b ʀ uə ɕ t
ëmbroch	ə m b ʀ o χ
ëmbréch	ə m b ʀ ə ɕ
embryo	æ m b ʀ i oː
embryoen	æ m b ʀ i oː ə n
ëmbuchen	ə m b u χ ə n
ëmgebucht	ə m g ə b u χ t
ëmdeefen	ə m d eː f ə n
ëmgedeeft	ə m g ə d eː f t
ëmdenken	ə m d æ ŋ k ə n
ëmgeduecht	ə m g ə d uə ɕ t
ëmdëppen	ə m d ə p ə n
ëmgedëppt	ə m g ə d ə p t
ëmdinn	ə m d i n
ëmgedoen	ə m g ə d oː ə n
ëmdirigéieren	ə m d i ʀ i ʒ ɜɪ ə ʀ ə n
ëmdirigéiert	ə m d i ʀ i ʒ ɜɪ ɐ t
ëmdisponéieren	ə m d i s p o n ɜɪ ə ʀ ə n
ëmdisponéiert	ə m d i s p oː n ɜɪ ɐ t
ëmdoen	ə m d oː ə n
ëmdréien	ə m d ʀ ɜɪ ə n
ëmgedréit	ə m g ə d ʀ ɜɪ t
ëmdréinen	ə m d ʀ ɜɪ n ə n
ëmgedréint	ə m g ə d ʀ ɜɪ n t
ëmdréiung	ə m d ʀ ɜɪ u ŋ
ëmdréiungen	ə m d ʀ ɜɪ u ŋ ə n
ëmfaassen	ə m f aː s ə n
ëmfaasst	ə m f aː s t
ëmfalen	ə m f aː l ə n
ëmgefall	ə m g ə f ɑ l
ëmfang	ə m f ɑ ŋ
ëmfank	ə m f ɑ ŋ k
ëmfeld	ə m f æ l t
ëmfëllen	ə m f ə l ə n
ëmgefëllt	ə m g ə f ə l t
ëmfonctionnéieren	ə m f o ŋ k s j oː n ɜɪ ə ʀ ə n
ëmfonctionnéiert	ə m f o ŋ k s j oː n ɜɪ ɐ t
ëmfro	ə m f ʀ oː
ëmfroen	ə m f ʀ oː ə n
ëmfrot	ə m f ʀ oː t
ëmfueren	ə m f uː ɐ ʀ ə n
ëmfuer	ə m f uː ɐ
ëmfunktionéieren	ə m f uː ŋ k s j oː n ɜɪ ə ʀ ə n
ëmfunktionéiert	ə m f uː ŋ k s j oː n ɜɪ ɐ t
ëmgaachelen	ə m g aː ɕ ə l ə n
ëmgaachelt	ə m g aː χ ə l t
ëmgang	ə m g ɑ ŋ
ëmgänglech	ə m g æ ŋ l ə ɕ
ëmgank	ə m g ɑ ŋ k
ëmgeheien	ə m g ə h ɑɪ ə n
ëmgehäit	ə m g ə h æːɪ t
ëmgéigend	ə m g ɜɪ ʑ ə n t
ëmgekéiert	ə m g ə k ɜɪ ɐ t
ëmgeréits	ə m g ə ʀ ɜɪ t s
ëmgoen	ə m g oː ə n
ëmgaangen	ə m g aː ŋ ə n
ëmgruewen	ə m g ʀ uə v ə n
ëmgegruewen	ə m g ə g ʀ uə v ə n
ëmhaen	ə m h aː ə n
ëmgehaen	ə m g ə h aː ə n
ëmhänken	ə m h æ ŋ k ə n
ëmgehaangen	ə m g ə h aː ŋ ə n
ëmhéieren	ə m h ɜɪ ə ʀ ə n
ëmgehéiert	ə m g ə h ɜɪ ɐ t
ëmhunn	ə m h u n
ëmgehat	ə m g ə h aː t
emigrant	ə m i g ʀ ɑ̃ː
emigranten	ə m i g ʀ ɑ̃ː ə n
emigrantin	ə m i g ʀ ɑ n t i n
emigrantinnen	ə m i g ʀ ɑ n t i n ə n
emigratioun	ə m i g ʀ ɑ ts j əʊ n
emigratiounen	ə m i g ʀ ɑ ts j əʊ n ə n
emigréieren	ə m i g ʀ ɜɪ ə ʀ ə n
emigréiert	ə m i g ʀ ɜɪ ɐ t
emirater	ə m i ʀ aː t ɐ
emiraterin	ə m i ʀ aː t ə ʀ i n
emiraterinnen	ə m i ʀ aː t ə ʀ i n ə n
emiratesch	ə m i ʀ aː t ə ʃ
emissioun	ə m i s j əʊ n
emissiounen	ə m i s j əʊ n ə n
ëmkippen	ə m k i p ə n
ëmgekippt	ə m g ə k i p t
ëmklammen	ə m k l ɑ m ə n
ëmgeklommen	ə m g ə k l o m ə n
ëmklappen	ə m k l ɑ p ə n
ëmgeklappt	ə m g ə k l ɑ p t
ëmknécken	ə m k n e k ə n
ëmgeknéckt	ə m g ə k n e k t
ëmknécksen	ə m k n e k s ə n
ëmgeknéckst	ə m g ə k n e k s t
ëmkommen	ə m k o m ə n
ëmkomm	ə m k o m
ëmkrees	ə m k ʀ eː s
ëmkucken	ə m k u k ə n
ëmgekuckt	ə m g ə k u k t
ëmlaf	ə m l aː f
ëmlaut	ə m l æːʊ t
ëmlauter	ə m l æːʊ t ɐ
ëmleeden	ə m l eː d ə n
ëmgeleet	ə m g ə l eː t
ëmleedung	ə m l eː d u ŋ
ëmleedungen	ə m l eː d u ŋ ə n
ëmleeën	ə m l eː ə n
ëmgeluecht	ə m g ə l uə ɕ t
ëmleien	ə m l ɑɪ ə n
ëmgeleeën	ə m g ə l eː ə n
ëmlueden	ə m l uə d ə n
ëmgelueden	ə m g ə l uə d ə n
ëmmellen	ə m æ l ə n
ëmgemellt	ə m g ə m æ l t
emmentaler	ɑ̃ː m æ n t aː l ɐ
ëmmer	ə m ɐ
emmerdéieren	ɑ̃ː m ɐ d ɜɪ ə ʀ ə n
emmerdéiert	ɑ̃ː m ɐ d ɜɪ ɐ t
emmerdeur	ɑ̃ː m ɐ d œː ʀ
emmerdeuren	ɑ̃ː m ɐ d œː ʀ ə n
emmerdeuse	ɑ̃ː m ɐ d øː s
emmerdeusen	ɑ̃ː m ɐ d øː s ə n
ëmmerhin	ə m ɐ h i n
ëmmodelen	ə m o d ə l ə n
ëmgemodelt	ə m g ə m o d æ l t
emol	ə m oː l
emotional	e m o ts j oː n aː l
emotioun	e m o t j əʊ n
emotiounen	e m o t j əʊ n ə n
ëmpaken	ə m p aː k ə n
ëmgepaakt	ə m g ə p ɑ ɑ k t
ëmpeg	ə m p ə ɕ
empfang	æ m p f ɑ ŋ
empfäng	æ m p f æ ŋ
empfänger	æ m p f æ ŋ ɐ
empfängerin	æ m p f æ ŋ ə ʀ i n
empfängerinnen	æ m p f æ ŋ ə ʀ i n ə n
empfank	æ m p f ɑ ŋ k
empfänken	æ m p f æ ŋ k ə n
empfaangen	æ m p f aː ŋ ə n
empfannen	æ m p f ɑ n ə n
empfonnt	æ m p f o n t
empfeelen	æ m p f eː l ə n
empfuelen	æ m p f uə l ə n
empfeelung	æ m p f eː l u ŋ
empfeelungen	æ m p f eː l u ŋ ə n
empfehlen	æ m p f eː l ə n
empfehlung	æ m p f eː l u ŋ
empfehlungen	æ m p f eː l u ŋ ə n
empfindlech	æ m p f i n d l ə ɕ
empfindlechkeet	æ m p f i n d l ə ɕ k eː t
ëmplanzen	ə m p l ɑ n ts ə n
ëmgeplanzt	ə m g ə p l ɑ n ts t
ëmplouen	ə m p l əʊ ə n
ëmgeplout	ə m g ə p l əʊ t
employé	ɑ̃ː p l w ɑ j eː
employéen	ɑ̃ː p l w ɑ j eː ə n
employée	ɑ̃ː p l w ɑ j eː
employéeën	ɑ̃ː p l w ɑ j eː ə n
ëmpolen	ə m p oː l ə n
ëmgepoolt	ə m g ə p oː l t
ëmprogramméieren	ə m p ʀ o g ʀ ɑ m ɜɪ ə ʀ ə n
ëmprogramméiert	ə m p ʀ o g ʀ ɑ m ɜɪ ɐ t
ëmpuchen	ə m p u χ ə n
ëmgepucht	ə m g ə p u χ t
ëmquartéieren	ə m k ɑ ʀ t ɜɪ ə ʀ ə n
ëmquartéiert	ə m k ɑ ʀ t ɜɪ ɐ t
ëmräissen	ə m ʀ æːɪ s ə n
ëmgerass	ə m g ə ʀ ɑ s
ëmrass	ə m ʀ ɑ s
ëmrappen	ə m ʀ ɑ p ə n
ëmgerappt	ə m g ə ʀ ɑ p t
ëmraumen	ə m ʀ ɑʊ m ə n
ëmgeraumt	ə m g ə ʀ æːʊ m t
ëmrechnen	ə m ʀ æ ɕ n ə n
ëmgerechent	ə m g ə ʀ æ ɕ ə n t
ëmrennen	ə m ʀ æ n ə n
ëmgerannt	ə m g ə ʀ ɑ n t
ëmrëss	ə m ʀ ə s
ëmsaz	ə m z aː ts
ëmsätz	ə m s æ ts
ëmschaffen	ə m ʃ ɑ f ə n
ëmgeschafft	ə m g ə ʃ ɑ f t
ëmschalten	ə m ʃ ɑ l t ə n
ëmgeschalt	ə m g ə ʃ ɑ l t
ëmschëdden	ə m ʃ ə d ə n
ëmgeschott	ə m g ə ʃ o t
ëmschlag	ə m ʃ l aː χ
ëmschléi	ə m ʃ l ɜɪ
ëmschloen	ə m ʃ l oː ə n
ëmgeschloen	ə m g ə ʃ l oː ə n
ëmschmäissen	ə m ʃ m æːɪ s ə n
ëmgeschmass	ə m g ə ʃ m ɑ s
ëmschoulen	ə m ʃ əʊ l ə n
ëmgeschoult	ə m g ə ʃ əʊ l t
ëmschreiwen	ə m ʃ ʀ ɑɪ v ə n
ëmschriwwen	ə m ʃ ʀ i v ə n
ëmgeschriwwen	ə m g ə ʃ ʀ i v ə n
ëmschreiwung	ə m ʃ ʀ ɑɪ v u ŋ
ëmschreiwungen	ə m ʃ ʀ ɑɪ v u ŋ ə n
ëmschwäermen	ə m ʃ w ɛː ɐ m ə n
ëmschwäermt	ə m ʃ w ɛː ɐ m t
ëmschwong	ə m ʃ w o ŋ
ëmschwéng	ə m ʃ w e ŋ
ëmschwonk	ə m ʃ w o ŋ k
ëmseeën	ə m z eː ə n
ëmgeseet	ə m g ə z eː t
ëmsetzen	ə m z æ ts ə n
ëmgesat	ə m g ə s aː t
ëmsetzung	ə m z æ ts u ŋ
ëmsinn	ə m z i n
ëmsoss	ə m z o s
ëmsou	ə m z əʊ
ëmsprangen	ə m ʃ p ʀ ɑ ŋ ə n
ëmgesprongen	ə m g ə ʃ p ʀ o ŋ ə n
ëmstand	ə m ʃ t ɑ n t
ëmstänn	ə m ʃ t æ n
ëmständlech	ə m ʃ t æ n d l ə ɕ
ëmsteigen	ə m ʃ t ɑɪ ʑ ə n
ëmgestigen	ə m g ə ʃ t i ʑ ə n
ëmstellen	ə m ʃ t æ l ə n
ëmstallt	ə m ʃ t ɑ l t
ëmgestallt	ə m g ə ʃ t ɑ l t
ëmstellung	ə m ʃ t æ l u ŋ
ëmstellungen	ə m ʃ t æ l u ŋ ə n
ëmstëmmen	ə m ʃ t ə m ə n
ëmgestëmmt	ə m g ə ʃ t ə m t
ëmstoussen	ə m ʃ t əʊ s ə n
ëmgestouss	ə m g ə ʃ t əʊ s
ëmstridden	ə m ʃ t ʀ i d ə n
ëmstrukturéieren	ə m ʃ t ʀ u k t yː ʀ ɜɪ ə ʀ ə n
ëmstrukturéiert	ə m ʃ t ʀ u k t yː ʀ ɜɪ ɐ t
ëmsuedelen	ə m ʃ uə d ə l ə n
ëmgesuedelt	ə m g ə z uə d ə l t
ëmtauschen	ə m t æːʊ ʃ ə n
ëmgetosch	ə m g ə t o ʃ
ëmtippen	ə m t i p ə n
ëmgetippt	ə m g ə t i p t
ëmtrëllen	ə m t ʀ ə l ə n
ëmgetrollt	ə m g ə t ʀ o l t
ëmverdeelen	ə m f ɐ d eː l ə n
ëmverdeelt	ə m f ɐ d eː l t
ëmwandelen	ə m w ɑ n d ə l ə n
ëmgewandelt	ə m g ə v ɑ n d ə l t
ëmwee	ə m w eː
ëmweeër	ə m w eː ɐ
ëmwelt	ə m w æ l t
ëmweltbelaaschtung	ə m w æ l t b ə l aː ʃ t u ŋ
ëmweltbewosst	ə m w æ l t b ə v o s t
ëmweltfrëndlech	ə m w æ l t f ʀ ə n d l ə ɕ
ëmweltkommissioun	ə m w æ l t k o m i s j əʊ n
ëmweltkommissiounen	ə m w æ l t k o m i s j əʊ n ə n
ëmweltminister	ə m w æ l t m i n i s t ɐ
ëmweltministeren	ə m w æ l t m i n i s t ə ʀ ə n
ëmweltministère	ə m w æ l t m i n i s t ɛː ʀ
ëmweltministèren	ə m w æ l t m i n i s t ɛː ʀ ə n
ëmweltministerin	ə m w æ l t m i n i s t ə ʀ i n
ëmweltministerinnen	ə m w æ l t m i n i s t ə ʀ i n ə n
ëmweltministesch	ə m w æ l t m i n i s t ə ʃ
ëmweltministeschen	ə m w æ l t m i n i s t ə ʃ ə n
ëmweltofkommes	ə m w æ l t oː f k o m ə s
ëmweltofkommessen	ə m w æ l t oː f k o m ə s ə n
ëmweltorganisatioun	ə m w æ l t ɔ ʀ g aː n i z ɑ ts j əʊ n
ëmweltorganisatiounen	ə m w æ l t ɔ ʀ g aː n i z ɑ ts j əʊ n ə n
ëmweltproblematik	ə m w æ l t p ʀ o b l eː m aː t i k
ëmweltschiedlech	ə m w æ l t ʃ iə d l ə ɕ
ëmweltschutz	ə m w æ l t ʃ u ts
ëmweltschützer	ə m w æ l t ʃ y ts ɐ
ëmweltschützerin	ə m w æ l t ʃ y ts ə ʀ i n
ëmweltschützerinnen	ə m w æ l t ʃ y ts ə ʀ i n ə n
ëmweltverschmotzung	ə m w æ l d f ɐ ʃ m o ts u ŋ
ëmweltvirschrëft	ə m w æ l d f iː ɐ ʃ ʀ ə f t
